1.41,-2.26861,29.9154,1.34463
1.42,-2.70651,29.879,1.59193
1.43,-3.22443,29.8276,1.88631
1.44,-3.83702,29.755,2.23608
1.45,-4.56112,29.6526,2.65087
1.46,-5.41588,29.5084,3.14162
1.47,-6.42263,29.3058,3.72056
1.48,-7.60442,29.0216,4.40094
1.49,-8.98487,28.6243,5.19632
1.5,-10.586,28.0716,6.11941
1.51,-12.4247,27.3076,7.17986
1.52,-14.5066,26.2609,8.38089
1.53,-16.8174,24.8445,9.71431
1.54,-19.3119,22.9592,11.1539
1.55,-21.9009,20.5043,12.6482
1.56,-24.4419,17.3974,14.1148
1.57,-26.7394,13.6044,15.441
1.58,-28.565,9.17171,16.4948
1.59,-29.699,4.24852,17.1494
1.6,-29.9872,-0.919723,17.3158
1.61,-29.3883,-6.03391,16.97
1.62,-27.9872,-10.8071,16.1613
1.63,-25.9678,-15.0248,14.9956
1.64,-23.559,-18.5754,13.6052
1.65,-20.9813,-21.4443,12.1174
1.66,-18.4123,-23.6867,10.6347
1.67,-15.9752,-25.3942,9.22827
1.68,-13.7421,-26.6689,7.93981
1.69,-11.7459,-27.6063,6.78833
1.7,-9.99272,-28.2882,5.77731
1.71,-8.472,-28.7802,4.90076
1.72,-7.16455,-29.1332,4.14762
1.73,-6.04743,-29.3854,3.50471
1.74,-5.09705,-29.5651,2.95846
1.75,-4.29088,-29.6928,2.49594
1.76,-3.60833,-29.7835,2.10536
1.77,-3.03107,-29.8478,1.77622
1.78,-2.54304,-29.8933,1.49939
1.79,-2.13035,-29.9255,1.267
1.8,-1.78105,-29.9484,1.07233
1.81,-1.48492,-29.9645,0.909669
1.82,-1.23321,-29.9759,0.774235
1.83,-1.01845,-29.984,0.662008
1.84,-0.834247,-29.9897,0.569644
1.85,-0.675085,-29.9937,0.494387
1.86,-0.5362,-29.9965,0.433984
1.87,-0.413427,-29.9984,0.386625
1.88,-0.303079,-29.9997,0.35089
1.89,-0.201843,-30.0006,0.325707
1.9,-0.106674,-30.0011,0.31032
1.91,-0.0147135,-30.0013,0.304265
1.92,0.076805,-30.0012,0.307362
1.93,0.170633,-30.0008,0.319704
1.94,0.269591,-30.0001,0.34166
1.95,0.376654,-29.9989,0.373891
1.96,0.495038,-29.9972,0.417364
1.97,0.628299,-29.9947,0.473383
1.98,0.780434,-29.9911,0.543628
1.99,0.956002,-29.986,0.6302
2,1.16026,-29.9788,0.735688
